sterlicht.nl: 2014-05-03 17:42:36 [access] ip: 74.124.200.118, browser --> www.sterlicht.nl/components/com_community/index.html
sterlicht.nl: 2014-05-03 18:32:29 [access] ip: 131.253.26.224, browser --> www.sterlicht.nl/astroblogs/slAb010_oude_reuzen.html
sterlicht.nl: 2014-05-03 18:43:49 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/astroblogs.html
sterlicht.nl: 2014-05-03 19:58:07 [access] ip: 66.249.67.157, browser --> www.sterlicht.nl/astroblogs/slAb007_pegasus.html
sterlicht.nl: 2014-05-03 20:20:30 [access] ip: 66.249.67.221, browser --> www.sterlicht.nl/introduction.html
sterlicht.nl: 2014-05-03 23:50:30 [access] ip: 199.30.20.11, browser --> www.sterlicht.nl/astroblogs/slAb009_perseus.html



sterlicht.nl: 2014-05-04 02:28:25 [initialization] application restarted
sterlicht.nl: 2014-05-04 02:28:25 [initialization] table users already exists
sterlicht.nl: 2014-05-04 02:28:25 [access] ip: 199.30.20.2, browser --> www.sterlicht.nl/slAb068_zonnevlekken.html
sterlicht.nl: 2014-05-04 05:15:53 [access] ip: 131.253.24.15, browser --> www.sterlicht.nl/slAb039_ares_I_X.html
sterlicht.nl: 2014-05-04 06:13:33 [access] ip: 208.115.113.82, browser --> www.sterlicht.nl/slAb003_opgenomen.html
sterlicht.nl: 2014-05-04 06:18:30 [access] ip: 199.30.20.11, browser --> www.sterlicht.nl/slAb050_magelhaense_wolken.html
sterlicht.nl: 2014-05-04 09:52:41 [access] ip: 157.56.92.176, browser --> www.sterlicht.nl/astroblogs/slAb053_van_brillenglas_tot_apertuur_synthese.html
sterlicht.nl: 2014-05-04 09:52:41 [access] ip: 157.56.92.176, browser --> www.sterlicht.nl/astroblogs/slAb047_msl.html
sterlicht.nl: 2014-05-04 09:52:48 [access] ip: 157.56.92.176, browser --> www.sterlicht.nl/astroblogs/slAb013_m37.html
sterlicht.nl: 2014-05-04 09:52:48 [access] ip: 157.56.92.176, browser --> www.sterlicht.nl/
sterlicht.nl: 2014-05-04 09:52:50 [access] ip: 157.56.92.176, browser --> www.sterlicht.nl/slAb044_mars_rec_orb.html
sterlicht.nl: 2014-05-04 09:52:51 [access] ip: 157.56.92.176, browser --> www.sterlicht.nl/slAbTableOfContents.html
sterlicht.nl: 2014-05-04 09:56:04 [access] ip: 157.55.33.23, browser --> www.sterlicht.nl/slAb016_polaris.html
sterlicht.nl: 2014-05-04 09:56:05 [access] ip: 157.55.33.23, browser --> www.sterlicht.nl/astroblogs/slAb057_basisbegrippen.html
sterlicht.nl: 2014-05-04 09:56:14 [access] ip: 157.55.33.23, browser --> www.sterlicht.nl/astroblogs/slAb020_kepler.html
sterlicht.nl: 2014-05-04 09:56:14 [access] ip: 157.55.33.23, browser --> www.sterlicht.nl/astroblogs/slAb017_zonnewijzer.html
sterlicht.nl: 2014-05-04 10:03:39 [access] ip: 157.55.33.23, browser --> www.sterlicht.nl/slAb052_vier_planeten.html
sterlicht.nl: 2014-05-04 10:03:39 [access] ip: 157.55.33.23, browser --> www.sterlicht.nl/slAb033_kepler_eerste_resultaten.html
sterlicht.nl: 2014-05-04 10:03:54 [access] ip: 157.55.33.23, browser --> www.sterlicht.nl/slAb025_m48.html
sterlicht.nl: 2014-05-04 10:28:02 [access] ip: 157.55.36.46, browser --> www.sterlicht.nl/slAb010_oude_reuzen.html
